NO,NO,TRAIN,NAME,FROM,DEP,TO,ARR
12618,12618,12618,MNGLA LKSDP EXP ,H NIZAMUDDIN   ,09:20,ERNAKULAM JN   ,10:00
12619,12619,12619,MATSYAGANDHA EXP,LOKMANYATILAK T,15:20,MANGALORE CNTL ,07:30
12620,12620,12620,MATSYAGANDA EXP ,MANGALORE CNTL ,14:35,LOKMANYATILAK T,06:35
12621,12621,12621,TAMIL NADU EXP  ,CHENNAI CENTRAL,22:00,NEW DELHI      ,07:00
12622,12622,12622,TAMIL NADU EXP  ,NEW DELHI      ,22:30,CHENNAI CENTRAL,07:15
12623,12623,12623,TRIVANDRUM MAIL ,CHENNAI CENTRAL,19:45,TRIVANDRUM CNTL,11:25
12624,12624,12624,CHENNAI MAIL    ,TRIVANDRUM CNTL,14:30,CHENNAI CENTRAL,06:55
12625,12625,12625,KERALA EXPRESS  ,TRIVANDRUM CNTL,11:15,NEW DELHI      ,13:40
12626,12626,12626,KERALA EXPRESS  ,NEW DELHI      ,11:30,TRIVANDRUM CNTL,14:35
12627,12627,12627,KARNATAKA EXP   ,BANGALORE CY JN,19:20,NEW DELHI      ,10:30
12628,12628,12628,KARNATAKA EXP   ,NEW DELHI      ,21:15,BANGALORE CY JN,13:40
12629,12629,12629,SAMPARK KRANTI  ,YESVANTPUR JN  ,13:50,H NIZAMUDDIN   ,13:00
12630,12630,12630,YPR S KRNTI EXP ,H NIZAMUDDIN   ,08:50,YESVANTPUR JN  ,06:20
12631,12631,12631,NELLAI EXPRESS  ,CHENNAI EGMORE ,20:10,TIRUNELVELI    ,08:00
12632,12632,12632,NELLAI EXPRESS  ,TIRUNELVELI    ,19:25,CHENNAI EGMORE ,07:10
12633,12633,12633,KANYAKUMARI EXP ,CHENNAI EGMORE ,17:30,KANYAKUMARI    ,06:50
12634,12634,12634,KANYAKUMARI EXP ,KANYAKUMARI    ,17:20,CHENNAI EGMORE ,06:50
12635,12635,12635,VAIGAI EXP      ,CHENNAI EGMORE ,13:20,MADURAI JN     ,21:25
12636,12636,12636,VAIGAI EXP      ,MADURAI JN     ,07:00,CHENNAI EGMORE ,14:40
12637,12637,12637,PANDIAN EXP     ,CHENNAI EGMORE ,21:20,MADURAI JN     ,06:20
12638,12638,12638,PANDIAN EXP     ,MADURAI JN     ,20:35,CHENNAI EGMORE ,05:35
12639,12639,12639,BRINDAVAN EXP   ,CHENNAI CENTRAL,07:50,BANGALORE CY JN,14:00
12640,12640,12640,BRINDAVAN EXP   ,BANGALORE CY JN,15:10,CHENNAI CENTRAL,21:15
12641,12641,12641,TIRUKKURAL EXP  ,KANYAKUMARI    ,19:15,H NIZAMUDDIN   ,18:00
12642,12642,12642,THIRUKKURAL EXP ,H NIZAMUDDIN   ,07:20,KANYAKUMARI    ,08:45
12643,12643,12643,NIZAMUDDIN EXP  ,TRIVANDRUM CNTL,14:45,H NIZAMUDDIN   ,17:05
12644,12644,12644,SWARNA JAYANTI  ,H NIZAMUDDIN   ,05:55,TRIVANDRUM CNTL,11:05
12645,12645,12645,NIZAMUDDIN EXP  ,ERNAKULAM JN   ,19:00,H NIZAMUDDIN   ,17:05
12646,12646,12646,ERS MILLENUM EX ,H NIZAMUDDIN   ,05:55,ERNAKULAM JN   ,06:00
12647,12647,12647,KONGU EXPRESS   ,COIMBATORE JN  ,15:05,H NIZAMUDDIN   ,14:15
12648,12648,12648,KONGU EXPRESS   ,H NIZAMUDDIN   ,08:40,COIMBATORE JN  ,09:15
12649,12649,12649,SAMPARK KRANTI  ,YESVANTPUR JN  ,22:10,H NIZAMUDDIN   ,09:15
12650,12650,12650,KTK SMPRK K EXP ,H NIZAMUDDIN   ,06:45,YESVANTPUR JN  ,19:10
12651,12651,12651,SAMPARK KRANTI  ,MADURAI JN     ,23:55,H NIZAMUDDIN   ,18:00
12652,12652,12652,T N SMPRK KRNTI ,H NIZAMUDDIN   ,07:20,MADURAI JN     ,03:45
12655,12655,12655,NAVJEEVAN EXP   ,AHMEDABAD JN   ,06:40,CHENNAI CENTRAL,16:05
12656,12656,12656,NAVAJIVAN EXP   ,CHENNAI CENTRAL,09:35,AHMEDABAD JN   ,19:00
12657,12657,12657,BANGALORE MAIL  ,CHENNAI CENTRAL,23:15,BANGALORE CY JN,05:10
12658,12658,12658,CHENNAI MAIL    ,BANGALORE CY JN,22:40,CHENNAI CENTRAL,04:40
12659,12659,12659,GURUDEV EXPRESS ,NAGERCOIL JN   ,14:35,SHALIMAR       ,13:50
12660,12660,12660,GURUDEV EXPRESS ,SHALIMAR       ,23:00,NAGERCOIL JN   ,21:50
12661,12661,12661,POTHIGAI  EXP   ,CHENNAI EGMORE ,20:50,SENGOTTAI      ,09:00
12662,12662,12662,POTHIGAI   EXP  ,SENGOTTAI      ,18:30,CHENNAI EGMORE ,06:40
12663,12663,12663,HWH TPJ EXPRESS ,HOWRAH JN      ,16:10,TIRUCHCHIRAPALI,04:25
12664,12664,12664,HOWRAH EXPRESS  ,TIRUCHCHIRAPALI,16:00,HOWRAH JN      ,03:20
12665,12665,12665,KANNYAKUMARI EXP,HOWRAH JN      ,16:10,KANYAKUMARI    ,11:40
12666,12666,12666,CAPE HOWRAH EXP ,KANYAKUMARI    ,07:50,HOWRAH JN      ,03:20
12667,12667,12667,NAGERCOIL EXP   ,CHENNAI EGMORE ,18:50,NAGERCOIL JN   ,08:05
12668,12668,12668,CHENNAI EXP     ,NAGERCOIL JN   ,17:05,CHENNAI EGMORE ,06:05
12669,12669,12669,GANGAKAVERI EXP ,CHENNAI CENTRAL,17:40,CHHAPRA        ,11:40
12670,12670,12670,GANGAKAVERI EXP ,CHHAPRA        ,21:00,CHENNAI CENTRAL,14:25
12671,12671,12671,NILAGIRI EXP    ,CHENNAI CENTRAL,21:15,METUPALAIYAM   ,06:15
12672,12672,12672,NILAGIRI EXP    ,METUPALAIYAM   ,19:45,CHENNAI CENTRAL,05:05
12673,12673,12673,CHERAN EXPRESS  ,CHENNAI CENTRAL,22:10,COIMBATORE JN  ,06:05
12674,12674,12674,CHERAN EXPRESS  ,COIMBATORE JN  ,22:20,CHENNAI CENTRAL,06:35
12675,12675,12675,KOVAI EXPRESS   ,CHENNAI CENTRAL,06:15,COIMBATORE JN  ,13:45
12676,12676,12676,KOVAI EXP       ,COIMBATORE JN  ,14:20,CHENNAI CENTRAL,21:45
12677,12677,12677,ERNAKULAM EXP   ,BANGALORE CY JN,06:15,ERNAKULAM JN   ,16:55
12678,12678,12678,BANGALORE EXP   ,ERNAKULAM JN   ,09:10,BANGALORE CY JN,19:50
12679,12679,12679,COIMBATORE EXP  ,CHENNAI CENTRAL,14:30,COIMBATORE JN  ,22:15
12680,12680,12680,CHENNAI EXPRESS ,COIMBATORE JN  ,06:15,CHENNAI CENTRAL,13:50
12681,12681,12681,COIMBATORE EXP  ,CHENNAI CENTRAL,22:30,COIMBATORE JN  ,06:40
12682,12682,12682,CHENNAI EXP     ,COIMBATORE JN  ,23:45,CHENNAI CENTRAL,07:45
12683,12683,12683,BANGALORE SF EXP,ERNAKULAM JN   ,17:00,BANGALORE CY JN,04:20
12684,12684,12684,ERNAKULAM SF EXP,BANGALORE CY JN,18:45,ERNAKULAM JN   ,06:05
12685,12685,12685,MANGALORE EXP   ,CHENNAI CENTRAL,17:00,MANGALORE CNTL ,08:30
12686,12686,12686,CHENNAI EXP     ,MANGALORE CNTL ,16:15,CHENNAI CENTRAL,08:00
12687,12687,12687,DEHRADUN EXP    ,MADURAI JN     ,23:35,DEHRADUN       ,05:00
12688,12688,12688,DDN MDU SF EXP  ,DEHRADUN       ,06:45,MADURAI JN     ,12:45
12689,12689,12689,NAGERCOIL EXP   ,CHENNAI CENTRAL,18:15,NAGERCOIL JN   ,11:05
12690,12690,12690,NCJ CHENNAI EXP ,NAGERCOIL JN   ,19:40,CHENNAI CENTRAL,12:25
12691,12691,12691,SSPN EXPRESS    ,CHENNAI CENTRAL,23:30,SAI P NILAYAM  ,09:30
12692,12692,12692,CHENNAI EXPRESS ,SAI P NILAYAM  ,18:30,CHENNAI CENTRAL,05:15
12693,12693,12693,PEARL CITY EXP  ,CHENNAI EGMORE ,19:15,TUTICORIN      ,07:10
12694,12694,12694,PEARL CITY EXP  ,TUTICORIN      ,19:50,CHENNAI EGMORE ,07:45
12695,12695,12695,TRIVANDRUM EXP  ,CHENNAI CENTRAL,15:25,TRIVANDRUM CNTL,07:35
12696,12696,12696,TVC CHENNAI EXP ,TRIVANDRUM CNTL,17:20,CHENNAI CENTRAL,09:50
12697,12697,12697,TRIVANDRUM EXP  ,CHENNAI CENTRAL,15:15,TRIVANDRUM CNTL,06:35
12698,12698,12698,TVC CHENNAI EXP ,TRIVANDRUM CNTL,20:20,CHENNAI CENTRAL,12:25
12701,12701,12701,HUSAINSAGAR EXP ,MUMBAI CST     ,21:50,HYDERABAD DECAN,12:10
12702,12702,12702,HUSSAINSAGAR EX ,HYDERABAD DECAN,14:45,MUMBAI CST     ,05:05
12703,12703,12703,FALAKNUMA EXP   ,HOWRAH JN      ,07:25,SECUNDERABAD JN,09:35
12704,12704,12704,FALAKNUMA EXP   ,SECUNDERABAD JN,16:00,HOWRAH JN      ,17:45
12705,12705,12705,GNT SC EXP      ,GUNTUR JN      ,15:00,SECUNDERABAD JN,21:50
12706,12706,12706,SC GNT EXP      ,SECUNDERABAD JN,07:40,GUNTUR JN      ,14:25
12707,12707,12707,A P SMPRK KRNTI ,TIRUPATI       ,05:45,H NIZAMUDDIN   ,18:00
12708,12708,12708,AP SMPRK KRANTI ,H NIZAMUDDIN   ,07:20,TIRUPATI       ,21:35
12709,12709,12709,SIMHAPURI EXP   ,GUDUR JN       ,21:00,SECUNDERABAD JN,07:45
12710,12710,12710,SIMHAPURI EXP   ,SECUNDERABAD JN,22:30,GUDUR JN       ,08:50
12711,12711,12711,PINAKINI EXP    ,VIJAYAWADA JN  ,06:00,CHENNAI CENTRAL,13:00
12712,12712,12712,PINAKINI EXP    ,CHENNAI CENTRAL,14:05,VIJAYAWADA JN  ,21:10
12713,12713,12713,SATAVAHANA EXP  ,VIJAYAWADA JN  ,06:10,SECUNDERABAD JN,11:45
12714,12714,12714,SATAVAHANA EXP  ,SECUNDERABAD JN,16:15,VIJAYAWADA JN  ,21:50
12715,12715,12715,SACHKHAND EXP   ,H SAHIB NANDED ,09:30,AMRITSAR JN    ,20:20
12716,12716,12716,ASR NED EXPRESS ,AMRITSAR JN    ,05:35,H SAHIB NANDED ,16:00
12717,12717,12717,RATNACHALAM EXP ,VISHAKAPATNAM  ,12:40,VIJAYAWADA JN  ,18:35
12718,12718,12718,RATNACHAL EXP   ,VIJAYAWADA JN  ,06:05,VISHAKAPATNAM  ,12:05
12719,12719,12719,AII HYB SF EXP  ,AJMER JN       ,17:40,HYDERABAD DECAN,00:30
12720,12720,12720,HYB AII SUP EXP ,HYDERABAD DECAN,20:30,AJMER JN       ,03:05
12721,12721,12721,NIZAMUDDIN EXP  ,HYDERABAD DECAN,22:30,H NIZAMUDDIN   ,04:00
12722,12722,12722,DAKSHIN EXPRESS ,H NIZAMUDDIN   ,23:00,HYDERABAD DECAN,05:00
12723,12723,12723,A P EXP         ,HYDERABAD DECAN,06:25,NEW DELHI      ,09:05
12724,12724,12724,A P EXPRESS     ,NEW DELHI      ,17:30,HYDERABAD DECAN,19:50
12725,12725,12725,INTERCITY EXP   ,BANGALORE CY JN,13:00,DHARWAR        ,21:50
12726,12726,12726,INTERCITY EXP   ,DHARWAR        ,05:15,BANGALORE CY JN,14:05
12727,12727,12727,GODAVARI EXP    ,VISHAKAPATNAM  ,17:25,HYDERABAD DECAN,06:15
12728,12728,12728,GODAVARI EXP    ,HYDERABAD DECAN,17:15,VISHAKAPATNAM  ,05:50
12729,12729,12729,PUNE NANDED EXP ,PUNE JN        ,22:00,H SAHIB NANDED ,10:00
12730,12730,12730,PUNE EXPRESS    ,H SAHIB NANDED ,21:20,PUNE JN        ,09:20
12731,12731,12731,TPTY SC EXP     ,TIRUPATI       ,16:40,SECUNDERABAD JN,07:05
12732,12732,12732,SC TPTY SUP EXP ,SECUNDERABAD JN,20:05,TIRUPATI       ,10:35
12733,12733,12733,NARAYANADRI EXP ,TIRUPATI       ,18:25,SECUNDERABAD JN,06:25
12734,12734,12734,NARAYANADRI EXP ,SECUNDERABAD JN,18:05,TIRUPATI       ,06:05
12737,12737,12737,GOUTAMI EXP     ,KAKINADA PORT  ,20:20,SECUNDERABAD JN,06:35
12738,12738,12738,GOUTAMI EXP     ,SECUNDERABAD JN,21:15,KAKINADA PORT  ,07:30
12741,12741,12741,VSG PATNA EXP   ,VASCO DA GAMA  ,19:05,PATNA JN       ,12:10
12742,12742,12742,PNBE VSG EXPRES ,PATNA JN       ,14:00,VASCO DA GAMA  ,08:55
12747,12747,12747,PALNADU EXP     ,GUNTUR JN      ,05:45,VIKARABAD JN   ,12:10
12748,12748,12748,PALNADU EXP     ,VIKARABAD JN   ,13:45,GUNTUR JN      ,20:00
12751,12751,12751,MUGR SC EXPRESS ,MANUGURU       ,21:45,SECUNDERABAD JN,03:45
12752,12752,12752,SC MUGR EXPRESS ,SECUNDERABAD JN,23:45,MANUGURU       ,05:45
12759,12759,12759,CHARMINAR EXP   ,CHENNAI CENTRAL,18:10,HYDERABAD DECAN,08:00
12760,12760,12760,CHARMINAR EXP   ,HYDERABAD DECAN,18:30,CHENNAI CENTRAL,08:15
12761,12761,12761,TPTY KRMR  EXP  ,TIRUPATI       ,22:40,KARIMNAGAR     ,10:55
12762,12762,12762,KRMR TPTY   EXP ,KARIMNAGAR     ,19:15,TIRUPATI       ,08:10
12763,12763,12763,PADMAVATHI EXP  ,TIRUPATI       ,17:00,SECUNDERABAD JN,05:50
12764,12764,12764,PADMAVATI EXP   ,SECUNDERABAD JN,18:30,TIRUPATI       ,07:00
12765,12765,12765,TPTY AMI SUP EXP,TIRUPATI       ,15:10,AMRAVATI       ,14:50
12766,12766,12766,AMI TPTY SUP EXP,AMRAVATI       ,06:55,TIRUPATI       ,06:40
12767,12767,12767,NED  SRC SUP EXP,H SAHIB NANDED ,15:15,SANTRAGACHI JN ,19:15
12768,12768,12768,NED  WKLY  EXP  ,SANTRAGACHI JN ,14:50,H SAHIB NANDED ,18:50
12769,12769,12769,SEVEN HILLS EXP ,TIRUPATI       ,15:10,SECUNDERABAD JN,04:05
12770,12770,12770,SEVEN HILLS EXP ,SECUNDERABAD JN,17:40,TIRUPATI       ,06:35
12771,12771,12771,SC NGP SUP EXP  ,SECUNDERABAD JN,22:00,NAGPUR         ,08:15
12772,12772,12772,NGP SC SUP EXP  ,NAGPUR         ,22:00,SECUNDERABAD JN,08:25
12773,12773,12773,SHM SC AC  EXP  ,SHALIMAR       ,16:05,SECUNDERABAD JN,19:00
12774,12774,12774,SC SHM AC  EXP  ,SECUNDERABAD JN,05:30,SHALIMAR       ,09:05
12775,12775,12775,COCANADA EXP    ,KAKINADA TOWN  ,20:10,SECUNDERABAD JN,06:55
12776,12776,12776,COCANADA EXP    ,SECUNDERABAD JN,20:45,KAKINADA TOWN  ,07:20
12777,12777,12777,KOCHUVELI EXP   ,HUBLI JN       ,06:50,KOCHUVELI      ,06:30
12778,12778,12778,HUBLI EXP       ,KOCHUVELI      ,12:50,HUBLI JN       ,12:40
12779,12779,12779,GOA EXPRESS     ,VASCO DA GAMA  ,15:10,H NIZAMUDDIN   ,06:15
12780,12780,12780,GOA EXPRESS     ,H NIZAMUDDIN   ,15:05,VASCO DA GAMA  ,06:30
12781,12781,12781,SWARNA JAYANTHI ,MYSORE JN      ,20:10,H NIZAMUDDIN   ,17:05
12782,12782,12782,SWARNA JAYANTHI ,H NIZAMUDDIN   ,05:55,MYSORE JN      ,04:55
12785,12785,12785,BANGALORE EXP   ,KACHEGUDA      ,19:05,BANGALORE CY JN,06:25
12786,12786,12786,KACHEGUDA EXP   ,BANGALORE CY JN,18:20,KACHEGUDA      ,05:40
12791,12791,12791,SC PNBE EXPRESS ,SECUNDERABAD JN,10:00,PATNA JN       ,19:10
12792,12792,12792,PNBE SC EXP     ,PATNA JN       ,12:05,SECUNDERABAD JN,21:30
12797,12797,12797,VENKATADRI EXP  ,KACHEGUDA      ,20:05,CHITTOOR       ,08:55
12798,12798,12798,VENKATADRI EXP  ,CHITTOOR       ,17:30,KACHEGUDA      ,06:20
12801,12801,12801,PURUSHOTTAM EXP ,PURI           ,21:45,NEW DELHI      ,04:50
12802,12802,12802,PURSHOTTAM EXP  ,NEW DELHI      ,22:20,PURI           ,05:25
12803,12803,12803,SWARNAJAYANTI EX,VISHAKAPATNAM  ,08:30,H NIZAMUDDIN   ,17:05
12804,12804,12804,VSKP SWRN J EXP ,H NIZAMUDDIN   ,05:55,VISHAKAPATNAM  ,17:25
12805,12805,12805,JANMABHOOMI EXP ,VISHAKAPATNAM  ,06:15,SECUNDERABAD JN,18:45
12806,12806,12806,JANMABHOOMI EXP ,SECUNDERABAD JN,07:10,VISHAKAPATNAM  ,19:40
12807,12807,12807,SAMTA EXPRESS   ,VISHAKAPATNAM  ,06:25,H NIZAMUDDIN   ,16:45
12808,12808,12808,SAMTA EXPRESS   ,H NIZAMUDDIN   ,08:40,VISHAKAPATNAM  ,18:30
12809,12809,12809,HOWRAH MAIL     ,MUMBAI CST     ,20:35,HOWRAH JN      ,05:50
12810,12810,12810,HWH MUMBAI MAIL ,HOWRAH JN      ,20:15,MUMBAI CST     ,05:25
12811,12811,12811,HATIA EXPRESS   ,LOKMANYATILAK T,00:15,HATIA          ,03:45
12812,12812,12812,HTE LTT SUPER   ,HATIA          ,09:40,LOKMANYATILAK T,13:35
12813,12813,12813,STEEL EXPRESS   ,HOWRAH JN      ,17:30,TATANAGAR JN   ,21:25
12814,12814,12814,STEEL EXP       ,TATANAGAR JN   ,06:15,HOWRAH JN      ,10:20
12815,12815,12815,NANDAN KANAN EXP,PURI           ,10:55,NEW DELHI      ,17:00
12816,12816,12816,NANDAN KANAN EX ,NEW DELHI      ,06:30,PURI           ,12:20
12817,12817,12817,JHARKHAND SJ EXP,HATIA          ,14:40,ANAND VIHAR TRM,13:50
12818,12818,12818,JHARKHAND EXPRE ,ANAND VIHAR TRM,19:50,HATIA          ,16:40
12819,12819,12819,ORISSA S KRANTI ,BHUBANESWAR    ,15:30,NEW DELHI      ,20:50
12820,12820,12820,ORISSA S KRNTI  ,NEW DELHI      ,07:00,BHUBANESWAR    ,12:25
12821,12821,12821,DHAULI EXP      ,HOWRAH JN      ,06:00,PURI           ,14:30
12822,12822,12822,DHAULI EXP      ,PURI           ,11:50,HOWRAH JN      ,20:15
12823,12823,12823,C G SMPRK KRNTI ,DURG           ,12:00,H NIZAMUDDIN   ,09:05
12824,12824,12824,CHTSGRH S KRNTI ,H NIZAMUDDIN   ,17:25,DURG           ,15:10
12825,12825,12825,JHRKHND S KRANTI,RANCHI         ,23:40,NEW DELHI      ,20:50
12826,12826,12826,JHRKHND S KRNTI ,NEW DELHI      ,07:00,RANCHI         ,04:55
12827,12827,12827,HWH PRR EXP     ,HOWRAH JN      ,16:50,PURULIA JN     ,22:20
12828,12828,12828,PRR HWH EXP     ,PURULIA JN     ,05:30,HOWRAH JN      ,11:20
12829,12829,12829,BHUBANESWAR EXP ,CHENNAI CENTRAL,21:10,BHUBANESWAR    ,17:35
12830,12830,12830,BBS CHENNAI EXP ,BHUBANESWAR    ,12:00,CHENNAI CENTRAL,08:55
12833,12833,12833,HOWRAH EXPRESS  ,AHMEDABAD JN   ,23:55,HOWRAH JN      ,13:30
12834,12834,12834,HWH ADI EXPRESS ,HOWRAH JN      ,23:55,AHMEDABAD JN   ,13:00
12835,12835,12835,HTE YPR EXPRESS ,HATIA          ,18:25,YESVANTPUR JN  ,05:00
12836,12836,12836,YPR HATIA EXP   ,YESVANTPUR JN  ,08:30,HATIA          ,19:05
12837,12837,12837,HWH PURI EXP    ,HOWRAH JN      ,22:35,PURI           ,07:30
12838,12838,12838,PURI HWH EXPRESS,PURI           ,20:00,HOWRAH JN      ,04:50
12839,12839,12839,HWH MAS MAIL    ,HOWRAH JN      ,23:45,CHENNAI CENTRAL,03:50
12840,12840,12840,HOWRAH MAIL     ,CHENNAI CENTRAL,23:40,HOWRAH JN      ,04:10
12841,12841,12841,COROMANDAL EXP  ,HOWRAH JN      ,14:50,CHENNAI CENTRAL,17:15
12842,12842,12842,COROMANDEL EXP  ,CHENNAI CENTRAL,08:45,HOWRAH JN      ,11:50
12843,12843,12843,PURI  ADI EXP   ,PURI           ,17:30,AHMEDABAD JN   ,07:25
12844,12844,12844,ADI PURI EXP    ,AHMEDABAD JN   ,18:00,PURI           ,08:55
12845,12845,12845,BBS YPR SUP EXP ,BHUBANESWAR    ,07:30,YESVANTPUR JN  ,11:10
12846,12846,12846,BHUBANESHWAR EXP,YESVANTPUR JN  ,08:00,BHUBANESWAR    ,11:15
12849,12849,12849,BSP PUNE SUP EX ,BILASPUR JN    ,11:35,PUNE JN        ,09:45
12850,12850,12850,PA BILASPUR EXP ,PUNE JN        ,17:40,BILASPUR JN    ,16:50
12851,12851,12851,BSP MAS EXP     ,BILASPUR JN    ,08:55,CHENNAI CENTRAL,08:55
12852,12852,12852,BILASPUR EXPRES ,CHENNAI CENTRAL,21:10,BILASPUR JN    ,20:15
12853,12853,12853,AMARKANTAK EXP  ,DURG           ,18:20,BHOPAL  JN     ,10:30
12854,12854,12854,AMARKANTAK EXP  ,BHOPAL  JN     ,15:45,DURG           ,07:55
12855,12855,12855,NAGPUR INTERCIT ,BILASPUR JN    ,15:55,NAGPUR         ,23:00
12856,12856,12856,BSP INTERCITY   ,NAGPUR         ,06:30,BILASPUR JN    ,13:40
12857,12857,12857,TAMRALIPTA EXP  ,HOWRAH JN      ,06:40,DIGHA FLAG STN ,10:00
12858,12858,12858,TAMRALIPTA EXP  ,DIGHA FLAG STN ,10:25,HOWRAH JN      ,13:50
12859,12859,12859,GITANJALI EXP   ,MUMBAI CST     ,06:00,HOWRAH JN      ,12:30
12860,12860,12860,GITANJALI EXP   ,HOWRAH JN      ,13:50,MUMBAI CST     ,21:20
12861,12861,12861,LINK DAKSIN EXP ,VISHAKAPATNAM  ,15:10,H NIZAMUDDIN   ,04:00
12863,12863,12863,HWH YPR EXPRESS ,HOWRAH JN      ,20:35,YESVANTPUR JN  ,07:15
12864,12864,12864,YPR HOWRAH EXP  ,YESVANTPUR JN  ,19:35,HOWRAH JN      ,06:10
12865,12865,12865,LALMATI EXPRESS ,HOWRAH JN      ,08:30,PURULIA JN     ,14:15
12866,12866,12866,LALMATI EXPRESS ,PURULIA JN     ,14:40,HOWRAH JN      ,20:30
12867,12867,12867,HWH PDY EXP     ,HOWRAH JN      ,23:30,PUDUCHERRY     ,08:50
12868,12868,12868,PDY HOWRAH EXP  ,PUDUCHERRY     ,12:30,HOWRAH JN      ,22:25
12869,12869,12869,HOWRAH SUP EXP  ,MUMBAI CST     ,11:05,HOWRAH JN      ,19:30
12870,12870,12870,HWH CSTM EXPRES ,HOWRAH JN      ,14:35,MUMBAI CST     ,23:20
12871,12871,12871,ISPAT EXPRESS   ,HOWRAH JN      ,06:55,TITLAGARH      ,20:20
12872,12872,12872,ISPAT EXPRESS   ,TITLAGARH      ,05:15,HOWRAH JN      ,18:45
12873,12873,12873,JHARKHAND S J EX,HATIA          ,13:40,ANAND VIHAR TRM,13:50
12874,12874,12874,JHARKHAND EXP   ,ANAND VIHAR TRM,19:50,HATIA          ,19:55
12875,12875,12875,NEELACHAL EXP   ,PURI           ,10:55,NEW DELHI      ,21:40
12876,12876,12876,NEELACHAL EXP   ,NEW DELHI      ,06:30,PURI           ,17:10
12879,12879,12879,LTT BBS SUP EXP ,LOKMANYATILAK T,00:15,BHUBANESWAR    ,07:15
12880,12880,12880,BBS LTT SF EXP  ,BHUBANESWAR    ,07:00,LOKMANYATILAK T,13:35
12883,12883,12883,RUPASIBANGLA EXP,SANTRAGACHI JN ,06:25,PURULIA JN     ,11:50
12884,12884,12884,RUPASIBANGLA EXP,PURULIA JN     ,15:35,HOWRAH JN      ,21:15
12885,12885,12885,ARANYAK EXPRESS ,SHALIMAR       ,07:45,BHOJUDIH JN    ,13:05
12886,12886,12886,ARANYAK EXPRESS ,BHOJUDIH JN    ,13:25,SHALIMAR       ,19:00
12887,12887,12887,HWH PURI EXPRESS,HOWRAH JN      ,20:55,PURI           ,05:55
12888,12888,12888,PURI HWH EXPRES ,PURI           ,22:15,HOWRAH JN      ,07:05
12889,12889,12889,TATA YPR EXP    ,TATANAGAR JN   ,18:35,YESVANTPUR JN  ,05:00
12890,12890,12890,YPR TATA EXP    ,YESVANTPUR JN  ,08:30,TATANAGAR JN   ,19:00
12891,12891,12891,BGY  BBS EXPRESS,BANGRIPOSI     ,04:25,BHUBANESWAR    ,10:00
12892,12892,12892,BBS BPO EXPRESS ,BHUBANESWAR    ,17:10,BANGRIPOSI     ,22:50
12893,12893,12893,BLGR  EXPRESS   ,BHUBANESWAR    ,06:45,BALANGIR       ,13:45
12894,12894,12894,BBS EXPRESS     ,BALANGIR       ,14:40,BHUBANESWAR    ,21:50
12895,12895,12895,HWH PURI EXPRES ,HOWRAH JN      ,20:55,PURI           ,05:55
12896,12896,12896,PURI HWH EXPRESS,PURI           ,22:15,HOWRAH JN      ,07:05
12897,12897,12897,PDY BBS EXPRESS ,PUDUCHERRY     ,18:30,BHUBANESWAR    ,18:45
12898,12898,12898,BBS PDY EXPRESS ,BHUBANESWAR    ,12:00,PUDUCHERRY     ,13:20
12901,12901,12901,GUJARAT MAIL    ,MUMBAI CENTRAL ,22:00,AHMEDABAD JN   ,06:35
12902,12902,12902,GUJARAT MAIL    ,AHMEDABAD JN   ,22:00,MUMBAI CENTRAL ,06:25
12903,12903,12903,GOLDENTEMPLE ML ,MUMBAI CENTRAL ,21:30,AMRITSAR JN    ,05:45
12904,12904,12904,GOLDN TEMPLE ML ,AMRITSAR JN    ,21:25,MUMBAI CENTRAL ,05:20
12905,12905,12905,PBR HOWRAH EXP  ,PORBANDAR      ,07:00,HOWRAH JN      ,03:35
12906,12906,12906,HWH PBR  OKHAEXP,HOWRAH JN      ,22:55,PORBANDAR      ,19:00
12907,12907,12907,BDTS SMPRK K EX ,BANDRA TERMINUS,16:50,H NIZAMUDDIN   ,13:45
12908,12908,12908,MHRST SMPRK K EX,H NIZAMUDDIN   ,21:35,BANDRA TERMINUS,16:35
12911,12911,12911,BL HARIDWAR EXP ,VALSAD         ,15:40,HARIDWAR JN    ,16:05
12912,12912,12912,HW BL SUP EXP   ,HARIDWAR JN    ,18:50,VALSAD         ,18:15
12915,12915,12915,ASHRAM EXPRESS  ,AHMEDABAD JN   ,18:30,DELHI          ,10:10
12916,12916,12916,ASHRAM EXPRESS  ,DELHI          ,15:20,AHMEDABAD JN   ,07:40
12917,12917,12917,GUJARAT SMPRK K ,AHMEDABAD JN   ,17:20,H NIZAMUDDIN   ,10:40
12918,12918,12918,GUJRAT S KRANTI ,H NIZAMUDDIN   ,14:00,AHMEDABAD JN   ,06:45
12919,12919,12919,MALWA EXPRESS   ,INDORE JN BG   ,12:25,JAMMU TAWI     ,16:05
12920,12920,12920,MALWA EXPRESS   ,JAMMU TAWI     ,09:00,INDORE JN BG   ,12:50
12921,12921,12921,FLYING RANEE    ,MUMBAI CENTRAL ,17:55,SURAT          ,22:35
12922,12922,12922,FLYING RANEE    ,SURAT          ,05:25,MUMBAI CENTRAL ,10:10
12923,12923,12923,INDB NAGPUR EXP ,INDORE JN BG   ,21:25,NAGPUR         ,08:25
12924,12924,12924,NGP INDORE EXP  ,NAGPUR         ,19:00,INDORE JN BG   ,05:50
12925,12925,12925,PASCHIM EXPRESS ,BANDRA TERMINUS,11:35,AMRITSAR JN    ,19:20
